image,caption
2513260012_03d33305cf.jpg,startseq black dog is running after white dog in the snow endseq
2513260012_03d33305cf.jpg,startseq black dog chasing brown dog through snow endseq
2513260012_03d33305cf.jpg,startseq two dogs chase each other across the snowy ground endseq
2513260012_03d33305cf.jpg,startseq two dogs play together in the snow endseq
2513260012_03d33305cf.jpg,startseq two dogs running through low lying body of water endseq
2903617548_d3e38d7f88.jpg,startseq little baby plays endseq
2903617548_d3e38d7f88.jpg,startseq little girl plays next to truck endseq
2903617548_d3e38d7f88.jpg,startseq the child is playing by the truck endseq
2903617548_d3e38d7f88.jpg,startseq the kid is in front of car with put and ball endseq
2903617548_d3e38d7f88.jpg,startseq the little boy is playing with and ball beside the car endseq
3338291921_fe7ae0c8f8.jpg,startseq brown dog in the snow has something hot pink in its mouth endseq
3338291921_fe7ae0c8f8.jpg,startseq brown dog in the snow holding pink hat endseq
3338291921_fe7ae0c8f8.jpg,startseq brown dog is holding pink shirt in the snow endseq
3338291921_fe7ae0c8f8.jpg,startseq dog is carrying something pink in its mouth while walking through the snow endseq
3338291921_fe7ae0c8f8.jpg,startseq dog with something pink in its mouth is looking forward endseq
488416045_1c6d903fe0.jpg,startseq brown dog is running along beach endseq
488416045_1c6d903fe0.jpg,startseq brown dog wearing black collar running across the beach endseq
488416045_1c6d903fe0.jpg,startseq dog walks on the sand near the water endseq
488416045_1c6d903fe0.jpg,startseq brown dog running on the beach endseq
488416045_1c6d903fe0.jpg,startseq the large brown dog is running on the beach by the ocean endseq
2644326817_8f45080b87.jpg,startseq black and white dog with red frisbee standing on sandy beach endseq
2644326817_8f45080b87.jpg,startseq dog red disc on beach endseq
2644326817_8f45080b87.jpg,startseq dog with red frisbee flying in the air endseq
2644326817_8f45080b87.jpg,startseq dog catching red frisbee endseq
2644326817_8f45080b87.jpg,startseq the black dog is red disc on beach endseq
218342358_1755a9cce1.jpg,startseq cyclist wearing red helmet is riding on the pavement endseq
218342358_1755a9cce1.jpg,startseq girl is riding bike on the street while wearing red helmet endseq
218342358_1755a9cce1.jpg,startseq person on bike wearing red helmet riding down street endseq
218342358_1755a9cce1.jpg,startseq woman wears red helmet and blue shirt as she goes for bike ride in the shade endseq
218342358_1755a9cce1.jpg,startseq person in blue shirt and red helmet riding bike down the endseq
2501968935_02f2cd8079.jpg,startseq man dressed in purple shirt and red bandanna smiles at the people watching him endseq
2501968935_02f2cd8079.jpg,startseq man on the street wearing leather and endseq
2501968935_02f2cd8079.jpg,startseq man wearing purple shirt and black leather poses for the camera endseq
2501968935_02f2cd8079.jpg,startseq man dressed in leather and purple shirt stands in front of onlookers endseq
2501968935_02f2cd8079.jpg,startseq there is man in purple shirt leather and red bandanna standing near other men endseq
2699342860_5288e203ea.jpg,startseq boy wearing red tshirt is running through woodland endseq
2699342860_5288e203ea.jpg,startseq child runs near some trees endseq
2699342860_5288e203ea.jpg,startseq young boy is dancing around endseq
2699342860_5288e203ea.jpg,startseq young boy with red short shirt and jeans runs by some trees endseq
2699342860_5288e203ea.jpg,startseq the little boy in the red shirt stops to smile for the camera endseq
2638369467_8fc251595b.jpg,startseq girl in white dress endseq
2638369467_8fc251595b.jpg,startseq little girl in white is looking back at the camera while carrying water endseq
2638369467_8fc251595b.jpg,startseq smiling young girl in is playing ball endseq
2638369467_8fc251595b.jpg,startseq young girl wearing white looks at the camera as she plays endseq
2638369467_8fc251595b.jpg,startseq the girl is holding green ball endseq
2926786902_815a99a154.jpg,startseq skier in yellow jacket is airborne above the mountains endseq
2926786902_815a99a154.jpg,startseq skier jumps high in the air with view of the mountains endseq
2926786902_815a99a154.jpg,startseq skiing man in jacket jumps very high and it looks as though he is flying endseq
2926786902_815a99a154.jpg,startseq is high in the air doing ski jump endseq
2926786902_815a99a154.jpg,startseq the skier in the green jacket and white pants appears to almost fly into the sky endseq
